school_name,city,theme,sentiment,feedback
"Amman Academy","Amman","Infrastructure & Facilities","Positive","The campus feels well maintained and generally welcoming for students. Classrooms are bright and functional, which helps create a good learning environment. Outdoor areas are adequate, though they can feel a bit limited during busy times. Safety measures appear consistent, which is reassuring as a parent. Some shared spaces could benefit from minor upgrades. Overall, the facilities support learning reasonably well."
"Amman Academy","Amman","Academic Quality & Curriculum","Very Positive","The academic program feels thoughtful and well balanced across subjects. My child is challenged appropriately and encouraged to think independently. Coursework reflects international standards while remaining accessible. Assessments are clear and aligned with what is taught in class. There is a strong emphasis on skills, not just grades. We feel confident in the academic direction of the school."
"Amman Academy","Amman","Parent–Teacher Communication","Neutral / Mixed","Communication from the school is generally consistent but can vary between classes. Some updates are detailed and helpful, while others feel a bit brief. Meetings are available when requested, though scheduling can sometimes take time. Digital platforms are used, but not always to their full potential. Important information does reach parents eventually. With more consistency, communication could feel smoother."
"Amman Academy","Amman","Student Experience & Wellbeing","Positive","My child feels comfortable and safe at school most days. There is attention given to emotional wellbeing alongside academics. Students are encouraged to express themselves and participate in activities. Support systems exist, though they could be more visible to parents. The overall atmosphere feels caring. We see steady social growth in our child."
"Amman Academy","Amman","Teacher Quality & Stability","Negative","While many teachers are dedicated, there has been noticeable turnover. This has made continuity a challenge for students. Some transitions were not communicated clearly in advance. Teaching quality varies depending on the class. It can take time for new teachers to fully settle in. Greater stability would help build stronger trust."
"Amman Academy","Amman","School Leadership & Community","Positive","Leadership appears approachable and open to feedback. The school makes an effort to foster a sense of community among families. Events are inclusive and reflect the diversity of the parent body. Decisions are usually explained, even if not everyone agrees with them. There is a sense that leadership wants the school to improve. Overall, the community feels supportive."
"Amman Academy","Amman","Resources & Capacity","Negative","Resources sometimes feel stretched, especially as enrollment grows. Certain support services seem limited in availability. Class sizes can feel larger than ideal at times. While teachers do their best, additional staffing would help. Some programs feel constrained by capacity. Better resource planning would benefit students."
"Avenues New York","New York","Infrastructure & Facilities","Very Positive","The facilities are modern and thoughtfully designed for student learning. Learning spaces feel flexible and adaptable to different activities. Technology is well integrated into classrooms. Common areas encourage collaboration and creativity. Maintenance standards are high throughout the campus. The environment reflects the school’s educational vision."
"Avenues New York","New York","Academic Quality & Curriculum","Very Positive","The curriculum is rigorous and encourages deep thinking. Students are exposed to interdisciplinary learning in a meaningful way. Expectations are high but supported with strong guidance. There is a clear focus on global perspectives. My child feels intellectually engaged. Academic quality is a major strength of the school."
"Avenues New York","New York","Parent–Teacher Communication","Positive","Teachers are responsive and open to dialogue with parents. Updates are shared regularly through clear channels. Parent meetings feel purposeful and informative. Concerns are acknowledged in a timely manner. Communication feels respectful and collaborative. It helps build confidence in the school."
"Avenues New York","New York","Student Experience & Wellbeing","Positive","Students are encouraged to be curious and confident. There is a noticeable emphasis on wellbeing alongside achievement. My child feels heard and supported by staff. Peer interactions are generally positive. Support systems are available when needed. The student experience feels well rounded."
"Avenues New York","New York","Teacher Quality & Stability","Positive","Teachers demonstrate strong subject knowledge and enthusiasm. Instruction feels engaging and well planned. Staff seem aligned with the school’s philosophy. There is consistency across grade levels. Teachers build meaningful relationships with students. Overall quality is high."
"Avenues New York","New York","School Leadership & Community","Neutral / Mixed","Leadership sets a clear vision, though decision-making can feel distant at times. The school community is diverse but sometimes fragmented. Engagement opportunities exist, but not all families participate equally. Communication from leadership is generally polished. There is room for stronger connection with parents. The foundation is solid but could feel warmer."
"Avenues New York","New York","Resources & Capacity","Positive","The school is well resourced compared to many others. Learning materials are current and varied. Support services are generally accessible. Programs feel thoughtfully funded. While demand is high, capacity is managed carefully. Resources clearly support the educational model."
"Avenues São Paulo","São Paulo","Infrastructure & Facilities","Positive","Facilities are clean and well organized. Classrooms are comfortable and support collaborative learning. Outdoor areas are appreciated by students. Some spaces feel busy during peak times. Maintenance is handled promptly. Overall infrastructure meets expectations."
"Avenues São Paulo","São Paulo","Academic Quality & Curriculum","Positive","The curriculum feels challenging and internationally minded. Students are encouraged to explore ideas beyond textbooks. Learning feels relevant and engaging. Assessment practices are clear. Academic expectations are communicated well. We are satisfied with the quality of instruction."
"Avenues São Paulo","São Paulo","Parent–Teacher Communication","Negative","Communication can feel inconsistent across departments. Some messages arrive late or lack detail. It is sometimes unclear whom to contact for specific concerns. Follow-up can take longer than expected. This creates occasional frustration. Improved clarity would help parents feel more informed."
"Avenues São Paulo","São Paulo","Student Experience & Wellbeing","Positive","Students seem comfortable and confident in their environment. Emotional wellbeing is acknowledged in daily interactions. My child enjoys coming to school. Peer relationships are encouraged positively. Support is available when issues arise. The atmosphere feels nurturing."
"Avenues São Paulo","São Paulo","Teacher Quality & Stability","Very Positive","Teachers are highly engaged and knowledgeable. Lessons feel dynamic and well structured. There is a sense of continuity across grades. Staff turnover has been minimal. Teachers know students well. This consistency makes a big difference."
"Avenues São Paulo","São Paulo","School Leadership & Community","Positive","Leadership appears invested in long-term growth. Community events are inclusive and well attended. There is respect for cultural diversity. Feedback is welcomed, even if changes take time. The school culture feels intentional. Parents generally feel valued."
"Avenues São Paulo","São Paulo","Resources & Capacity","Negative","Some programs feel limited by available resources. Specialized support can be difficult to access quickly. As the school grows, capacity feels stretched. Teachers manage well, but additional support would help. Planning could be more proactive. Resource allocation needs attention."
"British International School Hanoi","Hanoi","Infrastructure & Facilities","Positive","The campus is clean and thoughtfully laid out. Learning spaces are functional and bright. Safety measures are clearly in place. Some areas could use modernization. Outdoor facilities are well used by students. Overall, facilities support daily learning."
"British International School Hanoi","Hanoi","Academic Quality & Curriculum","Very Positive","Academic standards are strong and consistent. The curriculum is well structured and challenging. Students are encouraged to develop critical thinking skills. Progress is monitored carefully. Teaching aligns well with expectations. We are very pleased academically."
